%eval_id interface p1             p2             p3             p4             p5             p6             p7             p8             p9             p10            p11            p12            p13            p14            p15            activation     energy         maxamp         
72       INTERFACE  2.673320354    -0.02498923686 3.116366857    -2.847164553   -5.773163528   5.235662706    -0.2865882045  3.91862897     6.816893443    -7.391372917   3.571851615    4.681564577    4.371748775    -5.739967391   -5.080791336   -0.5945837498  1.121465755e-05 7.843997925    
73       INTERFACE  3.139894607    2.810268079    6.142746379    6.136106354    2.863862422    3.38719189     -4.966739429   7.328224084    6.53365639     -6.581197734   -3.541047171   4.013751019    -3.907316747   1.775614472    -2.029162028   -0.6608493924  1.06202797e-05 8.025313521    
74       INTERFACE  3.24590113     -3.985327371   -2.154672975   -7.046511287   0.3062196275   6.40871762     0.5037447289   -1.553467174   -3.467255668   -5.994010618   -7.359881694   -7.020361342   -2.994911054   -7.297931188   4.605297927    -0.6024907827  1.036681973e-05 8.521495704    
75       INTERFACE  3.474585077    5.975041903    -4.02567193    6.768782884    6.859523349    -6.831030375   -6.999055089   2.720926099    -3.212261082   6.966604634    -1.406695558   2.024524922    0.5770336665   4.923270257    -0.7877024441  -0.686127007   1.194849047e-05 8.063297358    
76       INTERFACE  3.519242341    -6.162831187   7.125893449    7.022183554    -0.7979445221  5.24390876     5.187744267    -5.212299855   6.665796653    0.01045658836  2.199794282    6.064783755    1.806223946    1.671123572    -2.994976104   -0.4208869338  9.803764213e-06 8.122149905    
77       INTERFACE  3.779938005    -3.650878287   1.289281754    1.770280453    7.077093541    5.601439964    6.560893314    -0.81893403    -7.044366805   6.979823014    -6.974615003   5.135301087    -0.864610932   -5.275342077   -5.538308014   -0.8741779327  1.390213964e-05 7.546054054    
78       INTERFACE  3.794173787    -3.703757339   6.668769093    2.499374188    -4.222725207   -4.549959512   4.298551661    -0.9897663041  -6.220310255   4.052064846    6.768027066    7.483198042    -5.719531341   -3.993464844   -4.045389721   -0.7880651355  1.290545487e-05 7.350744657    
79       INTERFACE  3.910073583    -6.274915756   0.7643431277   0.9697783359   3.649057604    7.226402247    -4.217253102   -0.6840611893  0.2798103461   1.107625921    0.828465602    3.428193827    1.933109113    4.441921956    1.255737286    -0.4419013262  5.655636724e-06 7.438558812    
80       INTERFACE  4.05463165     -4.33693       -4.205802193   -6.615518562   4.694641562    -6.267837965   3.361402757    -3.881230714   6.465659716    3.372378343    -2.263213997   1.110429039    -1.170034184   4.687772641    7.305600447    -0.6602960825  1.145340426e-05 7.010015345    
81       INTERFACE  4.293069442    -3.018257567   -6.309031492   6.267846606    5.013708646    -1.855649347   -4.294651743   -5.401380175   -3.655701429   5.509981945    1.871757416    -1.997135656   -4.281682431   -2.366561165   -2.583279414   -0.6096776128  9.158451618e-06 7.068282003    
82       INTERFACE  4.453958027    -3.155556075   4.480034659    0.0703248836   1.497279373    6.206871131    -2.194012417   -6.289308839   2.625500101    -2.877118974   -6.180681756   -1.302648291   -5.695554404   5.691067019    0.4573843176   -0.6679140925  9.173043174e-06 6.345149959    
83       INTERFACE  4.624232933    -7.10021368    -3.129148211   -7.446355023   6.740250201    2.772512005    5.846919456    1.467905964    -3.792567214   3.968418013    -4.770781897   5.561155839    6.048869392    0.5042812685   3.507562138    -0.4292636514  1.244752396e-05 8.371545097    
84       INTERFACE  4.752445499    -2.976414177   -6.568207566   -0.8374736474  3.67714525     1.201232613    -6.850299253   -6.567855365   -6.968433901   -6.182058895   -1.357222779   -0.6582774074  -4.988433534   1.488710888    -2.712731846   -0.553769052   8.094560865e-06 6.974187632    
85       INTERFACE  4.903824305    0.9381382859   2.35047366     4.411605451    0.9648765919   3.407277416    -1.120827628   1.123313749    -1.474425136   4.837748114    -4.976607751   -1.375430431   -7.413502608   -2.509681114   2.663517627    -0.5024349093  6.578321655e-06 7.834146391    
86       INTERFACE  4.945995511    -2.036502347   5.826256158    5.877787945    4.626024013    2.003401408    -0.420979449   5.27572476     2.935546043    0.11058665     6.593665864    -5.921676743   6.95230925     -5.894767669   3.067034146    -0.4331804812  9.294950298e-06 8.042952089    
87       INTERFACE  5.011002807    0.573523961    5.439552906    1.510673339    1.382619373    3.200753504    7.007623245    0.8985859148   6.267941691    -1.284735696   -4.459947456   -1.041989109   6.742223622    -3.62112911    -6.547474307   -0.651792109   9.178699597e-06 7.864925849    
88       INTERFACE  5.249155028    -0.7151250882  2.967347543    -6.276516909   -1.446342205   2.326870884    -5.607547277   -0.9453972934  -2.452203017   -1.319808359   -1.478792666   3.641101425    -6.795283444   6.598241       1.064371676    -0.4118033648  8.224962274e-06 6.922611544    
89       INTERFACE  5.364277681    5.999159733    1.910080861    -0.8464405725  0.2694401787   1.487174395    -2.745000615   -0.6696665139  -6.831759642   -2.289367414   -1.189843506   -6.306374638   -4.654066333   5.445545569    -4.081716715   -0.744105041   8.469122263e-06 6.570319579    
90       INTERFACE  5.402877777    -3.370683752   -1.470620401   -0.9591239521  2.459785782    -7.368301148   1.561493699    3.991008821    1.241641342    -2.51930275    4.290173544    1.066848137    -3.560046647   -3.952650843   0.1342785534   -0.406060338   6.390337719e-06 7.177512283    
91       INTERFACE  5.457415461    7.28490469     -2.026667644   4.490130053    -2.517384223   -7.284612448   -4.336611858   1.554416872    -3.702648623   0.02511591535  -6.875652945   1.29276426     -3.62837581    5.643928649    1.531034631    -0.7834382057  1.069807146e-05 7.478169879    
92       INTERFACE  5.541891571    -6.619699301   1.515411965    -4.19251877    -2.100122997   7.128258354    4.36337533     4.334888552    -1.651609181   -7.212429789   -6.342767206   -1.598793412   7.192237805    -3.307772938   5.921601613    -0.5949643254  1.375834783e-05 7.398176764    
93       INTERFACE  5.696175335    -3.834485838   -0.7912014277  5.218410095    -3.584223569   3.412469684    -2.453135524   -4.425243687   0.6198855108   -4.178148318   -1.233519466   -0.6667092737  -5.763042799   2.437843406    2.551784895    -0.438170284   6.750643061e-06 6.133246646    
94       INTERFACE  6.200587134    -1.296949204   -4.754834914   3.227882274    5.239550044    -6.880222403   3.76787477     2.863803916    -3.617970697   -2.132570909   -5.349431277   -1.848194301   3.848396941    1.866325007    5.262397527    -0.41827479    9.483994186e-06 7.280012647    
95       INTERFACE  6.215682886    -3.627438832   5.490342455    3.22797182     -3.18784179    -2.709387145   -0.396027564   -5.145806762   -7.0810703     1.344319034    4.679667892    -0.3444339395  -5.800727081   -3.173609095   -7.370314049   -0.7328782678  1.038695291e-05 7.333099915    
96       INTERFACE  6.383750075    2.893557842    1.705221531    0.3991620326   6.201039072    7.105098534    0.02742038692  3.064414403    3.939987079    5.875811206    3.351984614    5.09721988     -3.222982206   3.044222412    -5.710553065   -0.4682670534  6.813788444e-06 8.220262677    
97       INTERFACE  6.777774493    -1.903296513   -2.640471123   -3.538645232   6.522868888    -4.786214951   0.9264407463   1.055477869    -6.581021868   -2.028648036   4.294019335    -4.904913442   -0.5680092345  -0.5724145463  1.54861459     -0.5098393559  8.16820736e-06 7.177676932    
98       INTERFACE  7.077136212    4.706684785    -3.997058788   -2.135113342   5.61801531     5.66556072     3.085644674    -6.078112106   2.322712329    -0.08790586264 6.898987102    -5.704232642   6.971329297    -1.559759853   -4.852265919   -0.5463593602  1.234499723e-05 7.198838476    
99       INTERFACE  7.213646709    6.736749617    6.223280676    7.074129421    -4.657331573   1.348766207    4.060636138    -6.548011356   3.553272288    -1.177132392   1.996854904    -1.63163498    -7.321235065   -2.879955585   -7.364233006   -0.9375931621  1.45119696e-05 7.778470631    
100      INTERFACE  7.484192017    -5.69099768    3.515806781    -7.385126024   -3.333713203   -3.354845322   -5.888300144   -1.650674501   -1.706802805   -4.092679022   2.786940599    0.9656334289   1.742576006    -2.474962294   -5.759665297   -0.6430026889  8.89895569e-06 9.036855608    
101      INTERFACE  -7.344648472   -6.438717443   -5.525222837   -1.669530465   1.602319253    -4.979382356   -5.968776962   5.699947925    2.304633688    -7.200835277   7.325206802    6.45925611     3.261681425    6.567430417    -4.661873007   -0.9120341539  1.602934852e-05 7.985738752    
102      INTERFACE  -7.302282499   -4.574612618   -4.432267715   -1.642154248   7.281505696    -6.39355642    2.227655763    0.9349207875   5.621498557    1.261312146    1.853723053    -5.419548621   -2.722580393   5.446406306    5.223753118    -0.5471576452  1.174519696e-05 7.446269889    
103      INTERFACE  -7.145868467   -2.789379419   2.894511982    3.751060085    5.166664115    3.290884053    5.128303036    -6.217958636   -6.287493179   -1.236033961   6.211751054    -7.28658902    -0.808513648   -0.8406918581  -5.067367292   -0.8583592176  1.208402346e-05 6.914046126    
